   __---~~~~--__                      __--~~~~---__
  `\---~~~~~~~~\\                    //~~~~~~~~---/'
    \/~~~~~~~~~\||                  ||/~~~~~~~~~\/
                `\\                //'
                  `\\            //'
                    ||          ||      Hey Doc!
          ______--~~~~~~~~~~~~~~~~~~--______
     ___ // _-~                        ~-_ \\ ___
    `\__)\/~                              ~\/(__/'
     _--`-___                            ___-'--_
   /~     `\ ~~~~~~~~------------~~~~~~~~ /'     ~\
  /|        `\                          /'        |\
 | `\   ______`\_         DMC        _/'______   /' |
 |   `\_~-_____\ ~-________________-~ /_____-~_/'   |
 `.     ~-__________________________________-~     .'
  `.      [_______/------|~~|------\_______]      .'
   `\--___((____)(________\/________)(____))___--/'
    |>>>>>>||                            ||<<<<<<|
    `\<<<<</'                            `\>>>>>/'

    Now, if my calculations are correct,
    when this baby hits 88 miles an hour,
    you're going to see some serious s#1t!


id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15711,2 bedroom Upper East Side,61491,D,Manhattan,Upper East Side,40.77119,-73.95241,Entire home/apt,206,30,84,2020-11-29,0.61,2,214
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Brooklyn,Prospect Heights,40.67839,-73.96642,Entire home/apt,140,30,152,2020-12-29,1.18,1,268
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,55,14,29,2021-02-28,0.21,2,282
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,40.72489,-73.9781,Private room,62,2,426,2021-01-26,4.58,1,67
16595,Quiet Full Floor Loft with Home Theater,64522,Ariel,Brooklyn,Williamsburg,40.7092,-73.96641,Entire home/apt,314,1,192,2021-03-28,1.51,1,362
16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,40.72281,-73.98501,Private room,74,1,120,2021-03-29,1.14,2,342
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,250,4,218,2021-03-31,1.59,1,111
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,250,30,53,2020-03-18,0.39,1,177
17083,East Village 2 Bedroom wth View,66209,Francesco,Manhattan,East Village,40.72408,-73.98186,Entire home/apt,190,3,8,2011-01-08,0.06,1,68
17693,"HARLEM, NYC,STILL WELCOMES YOU!! xx",68428,,Manhattan,Washington Heights,40.83253,-73.94108,Private room,65,2,60,2019-12-08,1.15,2,365
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,40.68503,-73.96555,Private room,95,150,128,2020-03-08,0.95,1,364
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,40.72862,-73.98748,Entire home/apt,176,30,21,2019-01-02,0.16,1,310
18195,King of Queens w/ Private Bathroom,70091,Justin,Queens,Woodside,40.74804,-73.9092,Private room,70,30,23,2021-04-01,0.17,2,279
18198,Little King of Queens,70091,Justin,Queens,Woodside,40.74884,-73.90536,Private room,55,30,29,2021-01-06,0.21,2,37
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,Private room,150,4,184,2020-03-09,1.50,1,338
18764,Cozy 2 BR in Williamsburg,72014,Yvelisa,Brooklyn,Williamsburg,40.7111,-73.9627,Private room,145,30,63,2019-08-04,0.47,2,365
18961,Cozy Studio in Great Location!,70857,Fabian,Manhattan,Kips Bay,40.73808,-73.98001,Private room,95,30,1,2016-03-22,0.02,1,0
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40.82817,-73.95133,Entire home/apt,110,31,58,2020-09-01,0.44,1,206
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40.65437,-73.96278,Private room,110,30,17,2019-07-20,0.13,1,90
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,105,30,61,2018-08-09,0.45,1,344
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Yvelisa,Brooklyn,Williamsburg,40.71142,-73.96263,Private room,85,30,193,2019-12-18,1.43,2,365
20717,Room in Brownstone B/Q feet away,78353,Guillaume,Brooklyn,Prospect Heights,40.6771,-73.97231,Private room,85,30,47,2021-03-31,0.52,4,365
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,40.69891,-73.93809,Private room,50,5,31,2020-11-24,0.29,1,316
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,,Brooklyn,Clinton Hill,40.68826,-73.96448,Private room,98,7,19,2020-04-25,0.19,5,99
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,40.70967,-73.95922,Entire home/apt,80,30,168,2018-07-22,1.31,1,0
21456,Light-filled classic Central Park,42032,Dana,Manhattan,Upper West Side,40.79936,-73.96155,Entire home/apt,85,30,83,2020-11-21,0.62,1,282
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82782,-73.9473,Private room,99,30,3,2019-10-21,0.10,1,365
21794,COZY QUIET monthly room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40.74187,-74.00223,Private room,85,30,36,2020-01-19,0.27,2,364
23135,House On Henry (3rd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,40.67747,-74.00146,Entire home/apt,160,30,259,2020-02-03,1.95,3,364
23545,Upper Upper West Side Townhouse 2bd/2ba,92411,Karen,Manhattan,Harlem,40.82825,-73.95138,Entire home/apt,200,30,218,2019-06-17,1.63,2,358
