id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4644688,2 Bedroom New York Charmer,16927633,Lee,Manhattan,Hell's Kitchen,40.76198,-73.98718,Entire home/apt,325,2,9,2016-07-12,0.15,1,0
4644828,Hip&Central! Charming Williamsburg!,805843,Johnny,Brooklyn,Williamsburg,40.71745,-73.95961,Entire home/apt,175,2,5,2017-01-06,0.09,1,0
4644914,Cozy Apartment on the UES,17844434,Ashley,Manhattan,Upper East Side,40.77951,-73.94869,Entire home/apt,155,10,5,2017-01-01,0.07,2,340
4645170,Private Room with Queen size bed,22827111,Matthew & Marilyn,Manhattan,Hell's Kitchen,40.76025,-73.99555,Private room,89,3,72,2020-03-22,1.01,2,0
4645319,Beautiful private unit in the heart of Brooklyn,2520125,Katja And Jermaine,Brooklyn,East New York,40.66171,-73.89891,Entire home/apt,50,60,190,2020-03-22,2.97,2,0
4649627,"Spacious 1 BR, En Suite in Brownstone!",9492212,Emily And Joel,Brooklyn,Park Slope,40.6702,-73.97885,Private room,139,2,88,2018-12-31,1.25,4,0
4650725,Lovely Room in a 2 BR in Greenpoint,24075308,Saskia,Brooklyn,Greenpoint,40.72518,-73.93844,Private room,85,14,3,2015-07-03,0.04,1,0
4651354,Lower East Side True 1 BR,24020050,Max,Manhattan,Chinatown,40.71566,-73.99076,Entire home/apt,98,2,30,2020-09-15,0.44,2,336
4651486,Prospect Park 2BR Near MANHATTAN!!!,2563415,Anthony,Brooklyn,Prospect-Lefferts Gardens,40.65601,-73.96176,Entire home/apt,135,3,70,2020-03-09,1.82,1,90
4652629,Classic East Village Apartment,9953720,Eva,Manhattan,East Village,40.72921,-73.98631,Private room,140,1,1,2015-01-03,0.01,1,0
4653508,1 BR in shiny new building + bikes!,6349214,David,Brooklyn,Fort Greene,40.69492,-73.97061,Entire home/apt,100,3,4,2017-12-30,0.06,1,0
4654374,3BR Central Park view / Fifth Ave / celebrity apt,24092402,Gil,Manhattan,East Harlem,40.79581,-73.94946,Entire home/apt,703,4,3,2020-01-05,0.05,1,89
4654785,"Parkslope, large 1 bdrm+, steps to subway",24094211,Rebecca,Brooklyn,Park Slope,40.67256,-73.97229,Entire home/apt,90,5,4,2017-01-02,0.06,1,94
4659046,Large eclectic studio East Village,1420868,Oksana,Manhattan,East Village,40.7257,-73.9795,Entire home/apt,128,1,56,2020-08-30,0.80,1,361
4659285,Manhattan! Bunk beds for 10,23334165,Patricia,Manhattan,Harlem,40.82396,-73.94388,Entire home/apt,220,4,88,2020-03-01,1.25,6,305
4660022,Best Block Clean Luxury Loft in SoHo,745486,Re,Manhattan,SoHo,40.7259,-74.00014,Entire home/apt,819,3,76,2020-09-03,1.07,1,176
4660633,Quiet and cozy 2BR. Great location!,4517642,Kali,Manhattan,Morningside Heights,40.8104,-73.95977,Entire home/apt,170,3,6,2016-05-23,0.09,1,0
4660964,"Cozy 1BR, 5 minutes from the train",24118443,Megan,Brooklyn,Williamsburg,40.7193,-73.94502,Entire home/apt,98,2,18,2018-12-28,0.26,1,0
4661135,SUNNY GUEST BDRM in Fort Greene!,3175065,Taya,Brooklyn,Fort Greene,40.69207,-73.97407,Private room,68,20,20,2020-02-01,0.30,1,28
4662784,Lovely Duplex in Brooklyn,21688465,William,Brooklyn,Crown Heights,40.67489,-73.93081,Private room,171,3,155,2019-11-09,2.33,1,68
4662889,Pre-War Apt on Central Park West!,24041562,Darren,Manhattan,Upper West Side,40.78697,-73.96929,Entire home/apt,600,5,6,2016-08-05,0.09,1,0
4663804,Cozy Room by CentralPark-Times Sq,24132118,Deborah,Manhattan,Hell's Kitchen,40.76793,-73.98817,Private room,79,7,1,2015-06-17,0.02,1,0
4663807,Entire 2 Bedroom Apartment - 20 min to Times Sqr,4098538,Olga,Manhattan,Harlem,40.82768,-73.94737,Entire home/apt,55,14,2,2017-01-08,0.04,1,0
4666584,Unique 2 Bed/2 Bath Duplex Apt,24144577,Bill,Manhattan,Harlem,40.80382,-73.94476,Entire home/apt,275,3,50,2019-11-04,0.75,1,353
4666794,Cozy Bedroom in Large Apartment,18511357,Meagan,Queens,Ditmars Steinway,40.77272,-73.90757,Private room,60,10,1,2017-07-01,0.03,1,0
4667046,Idy Safe Secure mins to Times Square 5*,24146326,Julien,Queens,Astoria,40.76638,-73.93236,Entire home/apt,105,3,101,2020-09-15,1.52,3,337
4668252,Furnished studioB UES (30 days MIN),23772724,The Local Stay,Manhattan,Upper East Side,40.77388,-73.95343,Entire home/apt,99,30,20,2020-04-08,0.32,45,309
4671552,Garden Level Brooklyn Brownstone,10860081,Hillary,Brooklyn,Clinton Hill,40.68241,-73.96354,Entire home/apt,130,1,9,2015-12-27,0.13,1,0
4671712,Spacious luxury loft Downtown NYC,1901846,Andre,Manhattan,Lower East Side,40.7136,-73.98936,Entire home/apt,100,3,8,2016-07-19,0.13,1,0
4671824,Master Bedroom by Yankee Stadium,190409,Waundell,Bronx,Highbridge,40.83212,-73.93054,Private room,55,1,82,2020-03-15,1.23,3,364
4672452,"Great bright 1BR,in true BK style",3108161,Michelle,Brooklyn,Williamsburg,40.71596,-73.95876,Entire home/apt,170,3,22,2017-09-26,0.31,1,0
4677469,Cozy 1-BDR apartment on Manhattan,24191104,Timur,Manhattan,Morningside Heights,40.81099,-73.95759,Entire home/apt,125,4,0,,,1,0
4677654,"Good, clean quite, and private!",10387090,Luis Enrique,Brooklyn,Bushwick,40.68348,-73.90817,Private room,39,30,6,2015-09-01,0.09,9,364
4678514,Cozy 1BR in the heart of Harlem,23939128,Mariela,Manhattan,Harlem,40.8136,-73.94999,Entire home/apt,80,5,5,2017-11-23,0.08,1,0
4678568,Spacious private BR 2 Queen beds & 3 mins to train,139470875,Alex,Brooklyn,Crown Heights,40.66811,-73.93393,Private room,95,1,243,2020-02-17,3.43,1,202
4678742,2 Bedroom West Village Manhattan,24195790,Patrick,Manhattan,Greenwich Village,40.73444,-73.99761,Entire home/apt,600,1,0,,,1,0
4678795,sunny & spacious one-bedroom,24048208,Maura,Brooklyn,Bedford-Stuyvesant,40.6848,-73.95728,Entire home/apt,140,3,0,,,1,0
4678943,"Cozy, Clean Studio!",6778700,Ali,Manhattan,SoHo,40.72506,-74.00777,Entire home/apt,150,30,80,2019-12-10,1.13,1,353
4679967,Big quiet room in Harlem,7304425,Elia,Manhattan,Harlem,40.82888,-73.94467,Private room,56,1,7,2016-06-07,0.11,1,0
4685985,Living room & Bedroom_Williamsburg,4357223,Itziar,Brooklyn,Williamsburg,40.70574,-73.95552,Private room,120,1,0,,,1,0
4686678,LARGE GREAT STUDIO HELLS KITCHEN,7759020,Valmik,Manhattan,Hell's Kitchen,40.76663,-73.9895,Entire home/apt,150,1,3,2015-06-08,0.04,1,0
4687730,"PRICE REDUCED! Clean, safe, & roomy",529546,Aditi,Manhattan,Hell's Kitchen,40.76865,-73.98672,Private room,145,3,0,,,2,0
4688209,Single Private  RM Near Central Park North,15198359,Grace Brigitte,Manhattan,Harlem,40.80225,-73.95353,Private room,70,7,10,2020-02-10,0.14,2,365
4688418,Spacious 2BR in UES - 30 DAYS MIN,23772724,The Local Stay,Manhattan,Upper East Side,40.7734,-73.95357,Entire home/apt,99,30,7,2019-08-10,0.10,45,296
4690677,Flatiron studio next to Madison Pk,19007585,Darren,Manhattan,Flatiron District,40.744,-73.9907,Entire home/apt,110,7,11,2016-03-25,0.16,1,0
4691130,Cozy room in center of Park Slope,24253453,Lisah,Brooklyn,Park Slope,40.67489,-73.97963,Private room,70,2,120,2018-01-04,1.88,2,281
4691649,New Studio Loft in Williamsburg w/ Private Terrace,8501698,Meghan,Brooklyn,Williamsburg,40.71971,-73.95919,Entire home/apt,140,4,1,2016-06-01,0.02,1,0
4693338,"Brooklyn off J/Z, Newly Renovated",9123948,Chris,Brooklyn,Bedford-Stuyvesant,40.68229,-73.91574,Private room,46,4,3,2016-01-03,0.04,1,0
4694179,Artsy and Cozy 1b. - Walk Everywhere!,3753306,Michelle,Manhattan,Gramercy,40.73287,-73.98585,Entire home/apt,180,1,1,2017-09-15,0.03,1,0
4694480,1000 SQ FT Cobble Hill Übercharmer,24268565,Daniel,Brooklyn,Cobble Hill,40.68982,-73.99675,Entire home/apt,200,5,214,2020-05-16,3.01,1,329
4694622,Cozy Garden Apartment in Bushwick!!,24269297,Caitlin,Brooklyn,Bushwick,40.69935,-73.9228,Private room,55,5,51,2020-02-15,0.78,1,351
4695408,Spacious bedroom for Summer Months,15642271,Julissa,Manhattan,Washington Heights,40.8442,-73.93721,Private room,60,1,3,2015-07-13,0.04,1,0
4698707,NY TIMES Featured Dumbo Penthouse,5352419,Brian,Brooklyn,Vinegar Hill,40.70213,-73.9838,Entire home/apt,550,20,1,2018-06-12,0.04,1,1
4699061,Cosy room in Brooklyn!2min to Sbwy,24291213,Joerg,Brooklyn,Sunset Park,40.64009,-74.01714,Private room,35,1,0,,,2,0
4699123,Huge Bdr in Loft in Williamsburg,11708876,Paloma,Brooklyn,Williamsburg,40.7114,-73.96293,Private room,90,1,0,,,1,0
4699289,Charming two bedroom in Greenpoint,17014518,Jessica,Brooklyn,Greenpoint,40.73039,-73.9541,Entire home/apt,180,1,0,,,1,0
4699535,Light and Spacious your 1BR Fort Greene Apt Awaits,41358,Jen,Brooklyn,Fort Greene,40.6908,-73.97332,Entire home/apt,155,2,1,2015-09-28,0.02,1,0
4699963,"Cozy 1BD in PLG, Brooklyn!",24295835,Aaron,Brooklyn,Prospect-Lefferts Gardens,40.66074,-73.96035,Entire home/apt,80,3,15,2017-05-24,0.21,1,0
4700082,Fort Greene Brooklyn 1 bedroom apt,21409261,Trey,Brooklyn,Fort Greene,40.69477,-73.97258,Entire home/apt,119,4,19,2017-07-23,0.28,1,0
4700265,Fantastic Room in Williamsburg,14320459,Hillary,Brooklyn,Williamsburg,40.70985,-73.94738,Private room,70,2,0,,,1,0
4700565,Charming Bohemian Bushwick Apt,24298733,Tuva,Brooklyn,Bushwick,40.69167,-73.92169,Private room,48,4,1,2015-08-22,0.02,2,0
4700809,Cozy Two-bedroom Apt in a Cute House in Brooklyn!,24298733,Tuva,Brooklyn,Kensington,40.6367,-73.97434,Private room,35,4,0,,,2,0
4701270,Cozy bedroom in the heart of Lower East Side,15702523,Elia,Manhattan,Lower East Side,40.7198,-73.98434,Private room,64,2,58,2018-12-09,0.82,1,0
4701425,Master Bedroom in E.Village Triplex,7460434,Rocco,Manhattan,East Village,40.72119,-73.98021,Private room,120,3,34,2020-01-02,0.49,2,30
4701749,Brooklyn Oasis,24304871,Heather,Brooklyn,Flatbush,40.6536,-73.95811,Private room,50,2,23,2019-04-01,0.33,1,0
4704813,New York Upper East Side Luxury Apt,24319884,Pete & Laurie,Manhattan,Upper East Side,40.77429,-73.95628,Entire home/apt,235,7,8,2017-08-29,0.13,1,0
